,ticker,list_date,market_cap,mkt_cap_low,mkt_cap_high,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
288,01891.HK,2019/03/15,5.00-6.20,5.0,5.0,0.5,0.62,0.5,205.6,0.5,-0.26
289,01907.HK,2019/03/15,110.40-127.20,110.4,110.4,2.76,3.18,2.8,0.2,1.0,0.0
290,03316.HK,2019/03/15,14.40-18.67,14.4,14.4,5.4,7.0,6.96,6.1,1.0,0.05172000000000001
291,08096.HK,2019/03/15,2.00-3.50,2.0,2.0,0.4,0.7,0.7,145.2,0.5,-0.32143
292,01917.HK,2019/03/14,9.20-11.50,9.2,9.2,0.4,0.5,0.41,440.7,0.2,0.53659
293,01158.HK,2019/03/11,9.36-14.04,9.36,9.36,13.37,20.05,16.5,0.5,1.0,0.02303
296,02108.HK,2019/03/06,5.20-6.00,5.2,5.2,0.65,0.75,0.75,15.4,0.45,-0.10667
297,01025.HK,2019/02/28,5.10-6.55,5.1,5.1,0.98,1.26,0.98,18.3,0.486,0.08163000000000001
298,01872.HK,2019/02/28,3.87-4.23,3.87,3.87,0.43,0.47,0.43,71.5,0.5,0.46512
299,01793.HK,2019/02/27,5.00-6.00,5.0,5.0,0.625,0.75,0.625,15.2,0.15,0.04
301,02616.HK,2019/02/26,109.23-125.96,109.23,109.23,11.1,12.8,12.0,6.2,1.0,0.07167000000000001
302,08607.HK,2019/02/26,3.20-6.40,3.2,3.2,0.4,0.8,0.4,9.3,0.15,0.1
303,08036.HK,2019/02/19,3.44-5.41,3.44,3.44,0.28,0.44,0.28,120.0,0.3,0.0
305,01703.HK,2019/02/15,5.00-7.50,5.0,5.0,0.5,0.75,0.5,16.7,0.502,0.22
307,01896.HK,2019/02/04,166.68-229.75,166.68,166.68,14.8,20.4,14.8,1.3,1.0,-0.011000000000000001
308,01890.HK,2019/01/25,41.60-54.00,41.6,41.6,2.08,2.7,2.48,0.6,1.0,0.0121
309,01851.HK,2019/01/18,6.20-9.90,6.2,6.2,1.24,1.98,1.44,1.6,0.5,-0.0625
312,06162.HK,2019/01/15,5.00-6.20,5.0,5.0,0.25,0.31,0.25,6.2,0.25,-0.008
313,01767.HK,2019/01/14,5.00-5.50,5.0,5.0,0.5,0.55,0.5,15.9,0.15,0.26
315,02360.HK,2019/01/11,10.00-12.00,10.0,10.0,1.0,1.2,1.0,9.9,0.3,0.17
316,02885.HK,2019/01/11,5.00-6.20,5.0,5.0,1.25,1.55,1.25,5.1,0.501,-0.256
317,08631.HK,2019/01/08,2.00-2.80,2.0,2.0,0.5,0.7,0.6,42.4,0.18,-0.175
318,01743.HK,2019/01/04,2.34-3.27,2.34,2.34,13.5,18.9,15.8,2.3,0.7,-0.09747
319,01845.HK,2019/01/03,11.73-13.33,11.73,11.73,0.88,1.0,0.88,1.4,0.7,0.02273
321,01796.HK,2018/12/31,5.04-6.00,5.04,5.04,1.05,1.25,1.05,12.0,0.5,-0.06667000000000001
323,01759.HK,2018/12/28,6.05-7.34,6.05,6.05,2.8,3.4,2.8,6.4,0.301,0.01429
324,03978.HK,2018/12/27,18.69-24.64,18.69,18.69,2.2,2.9,2.4,0.8,1.0,0.0
325,01877.HK,2018/12/24,35.42-37.24,35.42,35.42,19.38,20.38,19.38,3.8,1.0,0.22549
326,01762.HK,2018/12/21,45.33-58.82,45.33,45.33,3.56,4.62,3.56,2.3,0.6,-0.1573
327,01820.HK,2018/12/21,11.97-14.31,11.97,11.97,3.98,4.76,3.98,3.0,0.4,0.0
331,01995.HK,2018/12/17,24.00-31.20,24.0,24.0,1.6,2.08,1.78,0.2,1.0,0.0
