ticker,list_date,market_cap,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
08645.HK,2019/12/09,2.04-2.40,0.34,0.40,0.400,147.6,20.0%,-30.000%
02231.HK,2019/12/05,46.56-58.08,2.91,3.63,3.160,0.9,100.0%,+2.215%
08208.HK,2019/11/29,2.28-2.88,0.38,0.48,0.400,29.3,28.0%,0.000%
01425.HK,2019/11/28,5.00-6.25,0.40,0.50,0.400,13.0,21.0%,+3.750%
03759.HK,2019/11/28,46.24-52.94,34.50,39.50,39.500,113.2,100.0%,+6.962%
09988.HK,2019/11/26,"40,348.15",188.00,188.00,176.000,41.4,80.0%,+6.591%
01756.HK,2019/11/25,35.16-39.12,2.93,3.26,3.260,2.7,70.0%,-17.178%
02296.HK,2019/11/21,5.00-6.00,0.25,0.30,0.250,60.0,25.0%,+4.000%
01792.HK,2019/11/19,N/A,N/A,N/A,N/A,N/A,N/A,+12.583%
02103.HK,2019/11/15,116.47-150.00,3.30,4.25,3.980,認購不足,100.0%,-0.754%
03348.HK,2019/11/15,5.25-7.90,1.05,1.58,1.580,26.7,50.0%,-21.519%
08617.HK,2019/11/15,2.00-2.40,0.50,0.60,0.550,61.7,30.0%,+1.818%
01747.HK,2019/11/14,5.10-7.45,1.02,1.49,1.020,15.1,40.0%,-9.804%
08173.HK,2019/11/14,N/A,0.19,0.19,0.190,2.9,32.7%,-79.200%
08627.HK,2019/11/14,2.00-2.64,0.25,0.33,0.275,35.1,30.0%,+1.818%
01346.HK,2019/11/13,5.44-6.72,0.85,1.05,0.850,30.2,40.0%,-27.059%
01401.HK,2019/11/13,5.00-6.00,0.50,0.60,0.500,73.0,5.0%,+24.000%
06186.HK,2019/11/13,670.00-893.33,7.50,10.00,7.500,12.1,65.0%,-0.800%
06908.HK,2019/11/13,N/A,N/A,N/A,N/A,N/A,N/A,-6.173%
01640.HK,2019/11/12,5.00-7.00,1.25,1.75,1.250,18.5,65.0%,-0.800%
03681.HK,2019/11/12,76.47-96.60,7.60,9.60,7.600,11.9,100.0%,-21.053%
01427.HK,2019/11/11,19.12-24.80,2.39,3.10,2.500,認購不足,100.0%,+2.800%
01501.HK,2019/11/08,8.04-8.32,20.10,20.80,20.800,267.0,30.0%,+29.808%
01870.HK,2019/11/08,5.04-6.81,0.97,1.31,0.970,19.1,25.0%,+46.392%
01875.HK,2019/11/08,37.34-43.04,6.55,7.55,6.550,12.0,15.0%,-4.427%
01921.HK,2019/11/08,23.85-27.45,1.59,1.83,1.590,1.5,60.0%,-3.774%
01987.HK,2019/11/08,5.00-7.00,0.50,0.70,0.500,25.4,35.0%,0.000%
03603.HK,2019/11/08,13.50-16.50,0.90,1.10,1.000,3.6,80.0%,+30.000%
01922.HK,2019/11/06,5.07-6.08,1.90,2.28,2.180,381.9,3.0%,+15.596%
02163.HK,2019/11/06,11.80-15.21,9.68,12.48,9.680,0.4,100.0%,-0.103%
01821.HK,2019/11/01,491.93-528.37,16.20,17.40,16.800,2.2,100.0%,+5.357%
00302.HK,2019/10/31,51.03-65.94,2.19,2.83,2.830,542.8,15.0%,+2.120%
01847.HK,2019/10/31,3.70-4.70,2.76,3.51,3.360,17.5,70.0%,-20.833%
06855.HK,2019/10/28,66.68-70.82,32.20,34.20,34.200,751.0,9.0%,+9.942%
01692.HK,2019/10/25,5.20-6.00,1.30,1.50,1.300,273.5,10.0%,-33.846%
01853.HK,2019/10/24,2.22-2.92,1.90,2.50,2.350,97.3,20.0%,-6.383%
01871.HK,2019/10/24,5.12-5.68,1.28,1.42,1.280,379.2,1.6%,-32.031%
06069.HK,2019/10/24,N/A,N/A,N/A,N/A,N/A,N/A,+1.358%
