,ticker,list_date,market_cap,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
346,00780.HK,2018/11/26,200.35-259.94,9.75,12.65,9.800,1.7,100.0%,+26.531%
347,02258.HK,2018/11/19,9.90-12.88,1.20,1.56,1.220,0.7,100.0%,+9.016%
348,06890.HK,2018/11/19,6.00-7.80,1.00,1.30,1.020,23.0,60.1%,+4.902%
349,01835.HK,2018/11/13,1.92-2.68,5.00,7.00,5.000,4.6,100.0%,+4.200%
350,03616.HK,2018/11/12,12.24-16.80,1.02,1.40,1.240,0.9,100.0%,-8.871%
351,08259.HK,2018/11/07,2.40-2.88,0.50,0.60,0.500,21.5,40.0%,+40.000%
354,01801.HK,2018/10/31,139.77-156.54,12.50,14.00,13.980,0.1,100.0%,+18.598%
355,01034.HK,2018/10/30,5.12-5.44,0.32,0.34,0.320,11.4,26.0%,+43.750%
356,08611.HK,2018/10/22,2.65-3.43,0.68,0.88,0.620,7.2,14.5%,+16.129%
357,01653.HK,2018/10/19,3.80-5.00,0.19,0.25,0.190,15.6,13.0%,+84.211%
358,01825.HK,2018/10/19,3.20-3.52,0.40,0.44,0.400,17.4,30.0%,-3.750%
359,01741.HK,2018/10/16,5.00-5.40,0.625,0.675,0.625,4.0,40.0%,+0.800%
360,08613.HK,2018/10/16,2.20-3.00,0.22,0.30,0.220,20.7,20.0%,+10.000%
361,08516.HK,2018/10/15,1.92-2.64,0.40,0.55,0.400,13.0,22.5%,+87.500%
362,08603.HK,2018/10/15,2.24-3.52,0.28,0.44,0.280,12.4,20.0%,+46.429%
363,01894.HK,2018/10/12,6.08-6.84,0.80,0.90,0.850,11.5,25.0%,+3.529%
364,08042.HK,2018/10/12,2.40-3.20,0.30,0.40,0.300,15.2,60.0%,-28.333%
366,01939.HK,2018/10/11,7.50-8.55,1.50,1.71,1.500,5.7,30.0%,+4.000%
370,01540.HK,2018/10/08,5.07-5.58,1.00,1.10,1.000,9.6,25.0%,-16.000%
372,01781.HK,2018/10/04,5.40-6.48,1.00,1.20,1.100,9.3,25.0%,+15.455%
374,08017.HK,2018/09/28,3.20-4.00,0.64,0.80,0.640,24.9,30.0%,-27.344%
375,01723.HK,2018/09/27,4.00-5.20,1.00,1.30,1.000,5.5,45.1%,+112.000%
377,01748.HK,2018/09/26,5.16-7.04,1.29,1.76,1.500,3.8,21.4%,+0.667%
378,06862.HK,2018/09/26,784.40-943.40,14.80,17.80,17.800,4.6,60.0%,+0.112%
379,03690.HK,2018/09/20,"3,294.75-3,953.70",60.00,72.00,69.000,0.5,100.0%,+5.290%
380,08619.HK,2018/09/17,1.92-2.69,0.20,0.28,0.200,12.6,20.0%,+245.000%
382,02680.HK,2018/09/14,5.20-7.20,1.30,1.80,1.800,98.1,70.0%,-45.556%
383,01969.HK,2018/09/13,24.96-35.76,2.08,2.98,2.080,0.9,100.0%,-16.346%
384,08601.HK,2018/09/13,2.40-3.20,0.30,0.40,0.400,12.1,19.2%,-7.500%
385,01615.HK,2018/09/10,3.12-4.68,0.52,0.78,0.670,180.5,48.5%,-5.970%
386,08609.HK,2018/09/07,2.00-2.50,0.40,0.50,0.500,21.1,30.0%,-21.000%
388,08482.HK,2018/09/05,2.10-2.94,0.25,0.35,0.275,14.2,40.0%,-9.455%
389,08210.HK,2018/08/27,2.00-2.40,0.25,0.30,0.255,23.0,50.0%,0.000%
390,01783.HK,2018/08/22,3.60-4.40,0.45,0.55,0.550,723.5,15.0%,-10.909%
391,01725.HK,2018/08/16,5.10-6.00,1.70,2.00,1.750,419.7,10.0%,-17.143%
392,08475.HK,2018/08/13,2.00-3.20,0.50,0.80,0.720,87.0,40.0%,-31.250%
393,00788.HK,2018/08/08,"2,172.99-2,724.86",1.26,1.58,1.260,0.4,100.0%,0.000%
394,06160.HK,2018/08/08,724.20-856.15,94.40,111.60,108.000,0.7,100.0%,-0.926%
395,01765.HK,2018/08/03,101.33-128.00,1.52,1.92,1.920,17.4,100.0%,-2.604%
396,01672.HK,2018/08/01,134.48-179.31,12.0,16.0,14.000,8.1,40.0%,0.000%
397,01758.HK,2018/07/31,15.92-18.88,1.99,2.36,2.360,236.7,80.0%,+21.610%
400,08512.HK,2018/07/19,3.08-3.96,0.28,0.36,0.295,2.6,80.1%,+86.441%
402,03302.HK,2018/07/18,8.56-10.58,1.02,1.26,1.170,3.7,85.0%,+5.128%
403,08525.HK,2018/07/18,3.24-3.83,1.20,1.42,1.280,5.3,100.0%,+7.812%
404,08547.HK,2018/07/18,3.00-4.00,0.30,0.40,0.300,2.5,50.0%,0.000%
405,01715.HK,2018/07/16,4.50-5.40,0.30,0.36,0.300,18.6,55.0%,+5.000%
406,01721.HK,2018/07/16,5.20-6.00,0.52,0.60,0.530,8.8,25.0%,+15.094%
407,01968.HK,2018/07/16,7.04-8.96,1.10,1.40,1.120,13.5,20.0%,+156.250%
408,08540.HK,2018/07/16,2.12-2.88,1.06,1.44,1.250,6.5,50.0%,+4.000%
409,08606.HK,2018/07/16,1.84-2.40,0.23,0.30,0.300,9.9,40.0%,+133.333%
410,01731.HK,2018/07/13,9.97-14.00,0.89,1.25,0.890,3.3,60.0%,+25.843%
411,01775.HK,2018/07/13,4.50-5.50,0.90,1.10,1.080,287.7,40.0%,+22.222%
414,01760.HK,2018/07/12,29.00-33.30,2.90,3.33,2.900,6.7,100.0%,0.000%
415,01773.HK,2018/07/12,46.90-55.20,2.26,2.66,2.660,8.4,100.0%,+19.925%
417,03700.HK,2018/07/12,77.60-100.78,3.85,5.00,3.850,1.7,100.0%,+10.649%
419,08140.HK,2018/07/12,2.40-3.20,0.30,0.40,0.300,11.6,22.1%,+63.333%
420,08219.HK,2018/07/12,2.30-2.70,0.23,0.27,0.250,13.7,30.0%,+98.000%
421,01652.HK,2018/07/11,16.00-24.00,2.00,3.00,2.080,2.6,70.0%,+22.115%
422,01746.HK,2018/07/11,5.00-6.00,0.50,0.60,0.520,45.4,70.0%,-30.769%
424,08502.HK,2018/07/10,3.04-3.36,0.38,0.42,0.380,0.0,100.0%,+9.211%
425,01810.HK,2018/07/09,"3,838.19-4,967.08",17.0,22.0,17.000,8.5,100.0%,-1.176%
426,08223.HK,2018/07/09,2.40-4.00,0.60,1.00,0.760,13.6,30.0%,+106.579%
427,01763.HK,2018/07/06,56.94-77.41,17.80,24.20,21.600,34.2,80.0%,-6.944%
428,02262.HK,2018/07/05,8.09-11.97,0.71,1.05,0.880,124.5,60.0%,+30.682%
429,01592.HK,2018/07/04,4.80-6.00,0.40,0.50,0.400,17.5,85.0%,-30.000%
430,08305.HK,2018/07/04,2.00-2.40,0.25,0.30,0.300,22.7,60.0%,-18.667%
431,06100.HK,2018/06/29,141.23-175.92,28.50,35.50,33.000,1.2,100.0%,-1.515%
432,01620.HK,2018/06/28,4.02-5.10,0.335,0.425,0.360,191.9,40.1%,-1.389%
434,01749.HK,2018/06/27,4.38-6.55,3.28,4.91,3.780,148.2,27.0%,-7.672%
435,08146.HK,2018/06/27,2.40-3.20,0.30,0.40,0.350,127.8,70.0%,+48.571%
437,02003.HK,2018/06/21,99.46-114.38,20.0,23.0,20.000,8.4,100.0%,+2.250%
439,01806.HK,2018/06/15,81.35-106.37,6.50,8.50,7.500,8.7,70.0%,-11.733%
440,08357.HK,2018/06/15,2.60-3.12,0.50,0.60,0.600,149.7,3.3%,+31.667%
442,08403.HK,2018/06/12,2.40-3.20,0.12,0.16,0.145,115.6,50.0%,-4.828%
443,01757.HK,2018/06/07,3.60-4.08,0.30,0.34,0.340,452.8,30.0%,+5.882%
444,01451.HK,2018/06/01,2.40-2.72,1.20,1.36,1.340,613.0,40.0%,+2.985%
445,06119.HK,2018/06/01,5.04-6.00,0.84,1.00,0.850,15.9,70.0%,-11.765%
446,08545.HK,2018/05/31,2.50-3.50,0.25,0.35,0.350,41.9,9.0%,+14.286%
447,01978.HK,2018/05/30,8.00-10.40,1.00,1.30,1.100,978.1,55.0%,+40.000%
448,08490.HK,2018/05/30,2.96-4.09,0.42,0.58,0.580,116.5,40.0%,+3.448%
449,01598.HK,2018/05/29,9.76-13.97,0.79,1.13,1.130,107.6,60.0%,+51.327%
451,08536.HK,2018/05/18,2.00-2.40,0.40,0.48,0.480,275.0,40.0%,+2.083%
452,08105.HK,2018/05/16,3.20-4.00,0.40,0.50,0.400,34.4,100.0%,+21.250%
453,08521.HK,2018/05/16,2.40-2.88,0.50,0.60,0.580,20.3,100.0%,+12.069%
454,01742.HK,2018/05/11,6.40-7.68,0.40,0.48,0.450,52.2,100.0%,-10.000%
455,01750.HK,2018/05/11,5.40-6.84,0.30,0.38,0.300,22.4,100.0%,+3.333%
456,01752.HK,2018/05/11,6.79-9.30,0.27,0.37,0.330,15.9,100.0%,+19.697%
457,02119.HK,2018/05/11,10.86-15.86,1.50,2.19,1.980,161.9,15.0%,+19.697%
459,08527.HK,2018/05/09,2.50-3.00,0.50,0.60,0.500,9.8,70.0%,+100.000%
460,01833.HK,2018/05/04,542.19-584.88,50.80,54.80,54.800,653.0,60.0%,0.000%
461,08107.HK,2018/05/04,2.00-2.40,0.20,0.24,0.225,31.2,80.0%,+77.778%
462,01671.HK,2018/04/27,2.68-2.93,1.74,1.90,1.900,"1,592.2",20.0%,-5.789%
463,08151.HK,2018/04/23,2.02-2.18,0.48,0.52,0.480,320.6,60.0%,+6.250%
464,08511.HK,2018/04/20,2.20-3.40,0.55,0.85,0.650,69.1,50.0%,-23.846%
465,01726.HK,2018/04/18,3.60-4.40,0.45,0.55,0.550,788.0,20.0%,0.000%
466,08241.HK,2018/04/16,1.73-1.94,0.48,0.54,0.540,675.6,10.0%,+33.333%
467,08447.HK,2018/04/16,2.30-2.70,0.23,0.27,0.270,25.9,60.4%,+1.852%
468,08451.HK,2018/04/16,2.00-2.40,0.25,0.30,0.275,83.7,61.8%,+3.636%
469,08507.HK,2018/04/16,2.00-2.40,0.50,0.60,0.580,18.9,100.0%,-15.517%
471,08372.HK,2018/03/29,2.40-2.80,0.30,0.35,0.335,252.4,35.1%,+19.403%
472,01716.HK,2018/03/28,2.70-3.24,1.00,1.20,1.200,"6,288.0",0.8%,+431.667%
473,02116.HK,2018/03/28,4.80-6.00,1.00,1.25,1.250,225.4,40.0%,-2.400%
474,08401.HK,2018/03/28,2.00-2.60,1.00,1.30,1.050,203.7,30.0%,-15.238%
475,08448.HK,2018/03/28,1.80-2.16,0.20,0.24,0.230,306.6,30.0%,-0.435%
477,02779.HK,2018/03/26,45.28-59.04,2.83,3.69,3.260,31.8,70.0%,0.000%
479,08168.HK,2018/03/22,2.00-3.20,0.20,0.32,0.240,94.9,100.0%,+12.500%
481,02377.HK,2018/03/16,24.26-36.39,2.40,3.60,2.400,3.6,80.0%,-0.833%
482,06036.HK,2018/03/16,4.00-5.80,0.40,0.58,0.500,258.1,30.2%,+80.000%
483,01705.HK,2018/03/14,3.20-4.00,0.80,1.00,1.000,"2,599.5",3.0%,+298.000%
484,01737.HK,2018/03/14,3.00-5.00,0.30,0.50,0.480,79.0,38.0%,+10.417%
485,01815.HK,2018/03/13,24.02-34.56,2.28,3.28,2.380,4.6,70.0%,+0.420%
486,02182.HK,2018/03/08,4.03-4.65,0.65,0.75,0.710,577.7,30.1%,+2.817%
487,01621.HK,2018/03/05,3.00-5.00,0.30,0.50,0.350,46.2,35.0%,+10.000%
488,01933.HK,2018/03/02,2.74-3.66,0.72,0.96,0.950,258.6,3.0%,+41.053%
489,08483.HK,2018/02/28,2.40-2.80,0.30,0.35,0.310,34.0,100.0%,+16.129%
490,08526.HK,2018/02/27,2.18-2.41,0.38,0.42,0.380,23.7,80.0%,+2.632%
491,08367.HK,2018/02/26,2.16-2.64,0.27,0.33,0.275,13.8,40.1%,0.000%
492,08532.HK,2018/02/23,2.00-2.80,0.25,0.35,0.280,24.3,70.0%,+46.429%
493,08040.HK,2018/02/14,2.00-2.80,0.625,0.875,0.750,30.9,50.0%,+2.667%
494,08379.HK,2018/02/14,2.16-2.80,0.27,0.35,0.350,92.7,40.0%,+2.857%
495,01183.HK,2018/02/13,12.00-15.00,1.00,1.25,1.250,160.8,60.0%,+9.600%
496,01729.HK,2018/02/13,4.60-9.20,0.25,0.50,0.500,267.4,60.0%,-15.000%
497,08510.HK,2018/02/13,2.80-3.20,0.35,0.40,0.350,15.1,100.0%,-5.714%
498,08522.HK,2018/02/13,2.23-2.98,0.60,0.80,0.800,34.4,60.1%,+1.250%
501,08473.HK,2018/02/12,2.46-3.02,0.22,0.27,0.270,136.5,50.0%,+3.704%
502,08523.HK,2018/02/12,1.60-2.00,0.40,0.50,0.500,3.3,60.0%,-20.000%
503,08535.HK,2018/02/12,2.04-2.76,0.17,0.23,0.170,33.8,20.0%,-20.000%
504,03319.HK,2018/02/09,144.00-189.33,10.80,14.20,12.300,19.1,100.0%,-23.089%
505,06829.HK,2018/02/08,3.60-4.80,0.30,0.40,0.400,"1,680.1",10.1%,+3.750%
508,08450.HK,2018/02/02,2.00-2.40,0.20,0.24,0.220,333.9,40.0%,+15.909%
509,01711.HK,2018/01/29,3.04-4.96,0.38,0.62,0.560,"1,638.0",10.0%,+185.714%
511,08456.HK,2018/01/26,2.48-3.12,0.62,0.78,0.700,18.6,16.5%,+17.143%
512,08136.HK,2018/01/25,2.00-4.00,0.20,0.40,0.250,14.0,28.0%,+100.000%
513,08395.HK,2018/01/25,2.06-2.69,0.13,0.17,0.156,27.6,70.0%,+19.231%
515,02683.HK,2018/01/22,4.00-5.52,1.00,1.38,1.180,239.0,80.0%,+2.542%
516,01665.HK,2018/01/19,14.40-17.60,0.90,1.10,1.000,8.6,15.0%,-2.000%
517,08043.HK,2018/01/19,2.00-3.60,0.50,0.90,0.500,10.4,30.0%,+140.000%
518,08513.HK,2018/01/19,2.40-2.80,0.60,0.70,0.650,17.5,75.0%,+4.615%
519,02139.HK,2018/01/18,66.39-70.46,2.61,2.77,2.690,0.6,100.0%,+7.063%
